date,exercise,reps,set,mass (lbs),mass (kgs),rest,notes,to failure?
25.8.15,calf raise machine,10,3,0,0,60,60/40 2 legged,yes
25.8.15,heel raise squat bar,10,3,0,0,60,,yes
25.8.15,1 leg extension,10,3,45,20,60,,yes
25.8.15,1 leg curl,10,3,30,14,60,,yes
25.8.22,calf raise machine,10,3,0,0,60,70/30 2 legged,yes
25.8.22,heel raise squat bar,10,3,0,0,60,,yes
25.8.22,1 leg extension,10,3,40,18,60,,no
25.8.22,1 leg curl,10,3,40,18,60,,yes
25.8.24,1 leg extension,10,3,40,18,60,,no
25.8.24,1 leg curl,10,3,35,16,60,,yes
25.8.30,calf raise machine,10,3,0,0,60,single legged!!!,yes
25.8.30,1 leg extension,10,2,40,18,60,each leg,no
25.8.30,1 leg extension,7,1,50,23,60,each leg,no
25.8.30,1 leg extension,5,1,50,23,,each leg,no
25.8.30,heel raise squat bar,10,1,45,20,60,,no
25.8.30,heel raise squat bar,8,1,55,25,80,,no
25.8.30,heel raise squat bar,6,1,60,27,90,,no
25.8.30,heel raise squat bar,6,1,65,29,90,,no
25.8.30,heel raise squat bar,5,1,70,32,,,no
25.8.30,1 leg curl,10,1,45,20,60,each leg,no
25.8.30,1 leg curl,8,1,50,23,80,,no
25.8.30,1 leg curl,6,1,55,25,90,,no
25.8.30,1 leg curl,6,1,60,27,90,,yes
25.8.30,1 leg curl,4,1,70,32,,,no
25.8.30,2 legged jumps,15,3,0,0,,,no
25.09.03,heel raise squat bar,10,5,0,0,90,,
25.09.03,1 leg extension,10,2,45,20,60,,
25.09.03,1 leg extension,8,1,50,23,70,,
25.09.03,1 leg extension,6,1,55,25,80,,
25.09.03,1 leg extension,5,1,60,27,90,,
25.09.03,1 leg extension,4,1,65,29,,,
25.09.03,calf raise machine,10,5,0,0,60,,yes
25.09.03,1 leg curl,10,1,50,23,60,,
25.09.03,1 leg curl,8,1,55,25,70,,
25.09.03,1 leg curl,6,1,60,27,80,,
25.09.03,1 leg curl,6,1,65,29,90,,yes
25.09.03,1 leg curl,4,1,70,32,,,
25.09.06,calf raise machine,10,3,0,0,70,need help with other leg,yes
25.09.06,1 leg extension,10,1,55,25,60,,
25.09.06,1 leg extension,8,1,60,27,60,,
25.09.06,1 leg extension,6,1,65,29,60,,
25.09.09,slant board heel raises,10,4,45,20,60,"alternated direction of slant, so 2 sets on each side",
25.09.18,1 leg curl,10,1,50,23,120,,
25.09.18,1 leg curl,8,1,55,25,120,,
25.09.18,1 leg curl,6,1,60,27,120,,
25.09.18,1 leg curl,6,1,65,29,,,
25.09.18,1 leg side arm thing,10,4,10,5,120,,
25.09.18,1 leg extension ,10,1,50,23,120,,
25.09.18,1 leg extension ,8,1,55,25,120,,
25.09.18,1 leg extension ,6,1,65,29,120,,
25.09.18,1 leg extension ,6,1,75,34,120,,
25.09.18,1 leg extension ,4,1,80,36,,,
25.11.07,deadlift,10,1,85,39,90,,
25.11.07,deadlift,8,2,95,43,90,,
25.11.07,deadlift,6,1,105,48,90,,
25.11.07,deadlift,4,2,125,57,,,
25.11.07,1 leg squats,10,1,45,20,90,,
25.11.07,1 leg squats,8,1,65,29,90,,
25.11.07,1 leg squats,6,1,75,34,90,,
25.11.07,1 leg squats,4,1,75,34,,,
25.11.07,1 leg heel raise,10,1,0,0,90,,
25.11.07,1 leg heel raise,8,1,10,5,90,,
25.11.07,1 leg heel raise,6,2,15,7,90,,
25.11.07,1 leg heel raise,4,1,20,9,90,,
25.11.09,deadlift,10,1,65,29,90,,
25.11.09,deadlift,8,1,95,43,90,,
25.11.09,deadlift,6,2,115,52,120,,
25.11.09,deadlift,4,1,135,61,90,,
25.11.09,deadlift,10,1,65,29,,,
25.11.09,1 leg heel raise,10,1,10,5,90,,
25.11.09,1 leg heel raise,8,1,15,7,90,,
25.11.09,1 leg heel raise,6,2,20,9,90,,
25.11.09,1 leg heel raise,4,1,25,11,,,
25.11.09,1 leg squats,10,1,10,5,90,,
25.11.09,1 leg squats,8,1,15,7,90,,
25.11.09,1 leg squats,6,2,20,9,90,,
25.11.09,1 leg squats,4,1,30,14,,,
25.11.11,deadlift ,10,1,65,29,90,,
25.11.11,calf raise machine,8,1,115,52,90,,
25.11.11,deadlift ,6,1,135,61,90,,
25.11.11,deadlift ,6,1,145,66,90,,
25.11.11,deadlift ,4,2,165,75,,,
25.11.11,1 leg heel raise,10,1,15,7,90,,
25.11.11,1 leg heel raise,8,1,20,9,90,,
25.11.11,1 leg heel raise,6,1,25,11,90,,yes
25.11.11,1 leg heel raise,4,1,30,14,,,yes
25.11.11,1 leg squats,10,1,55,25,90,,
25.11.11,1 leg squats,8,1,65,29,90,,
25.11.11,1 leg squats,6,1,75,34,90,,
25.11.11,1 leg squats,4,1,85,39,,,
25.11.14,deadlift,10,1,65,29,60,,
25.11.14,deadlift,5,3,155,70,120,,
25.11.14,deadlift,5,2,175,79,120,,
25.11.14,1 leg squats,10,1,65,29,,,
25.11.14,heel raise squat bar,5,3,155,70,,,
25.11.14,1 leg heel raise,10,1,0,0,90,,
25.11.14,1 leg heel raise,8,1,10,5,90,,
25.11.14,1 leg heel raise,5,1,15,7,90,,
25.11.14,1 leg heel raise,5,1,20,9,,,yes
