Date,Activity,duration (min),distance km,notes
25.8.17,bike ride,,40.23,
25.8.18,swim,30,,
25.8.20,bike ride,,20.1,
25.8.21,swim,30,,
25.8.23,swim,30,,
25.8.25,swim,30,,
25.08.31,bike ride,,20.1,
25.09.01,swim,30,,
25.09.04,swim,45,,
25.10.27,swim,30,,
25.10.29,swim,30,,
25.11.02,swim,30,,
25.11.05,swim,30,,
25.11.07,swim,30,,
25.11.08,bike ride,60,,
25.11.09,swim,45,,
25.11.13,swim,45,,
25.11.15,swim,45,,HIIT style workout
25.11.17,swim,45,,non-stop 30 then non-stop 15
25.11.20,swim,30,,non-stop
25.11.24,swim,45,,HIIT style workout
25.11.28,swim,45,,non-stop
25.11.30,swim,45,,HIIT style workout
25.12.03,swim,45,,HIIT style workout
25.12.08,swim,45,,non-stop
25.12.18,swim,30,,HIIT style workout
25.12.22,swim,45,,non-stop
26.01.06,swim,30,,non-stop
26.01.18,swim,25,,non-stop 
26.01 23,swim,30,,just swimming
26.01.26,swim,30,,HIIT
26.02.02,swim,30,,non-stop
26.02.07,bike,120,,fun xc ride
26.02.08,swim,30,,
26.03.07,swim,30,,
26.03.08,bike,150,,
26.03.12,swim,30,,
26.03.21,swim,30,,
26.03.27,run,120,,off on running. primarily off.. really just a hike where I logged a little. this wrecked my ankle in the evening 
